NR_SEQUENCIA;DS_PROC_EXAME;CD_PROCEDIMENTO;CD_PROCEDIMENTO_TUSS;IE_ORIGEM_PROCED;DS_PROC_EXAME_LOC;IE_ORIGEM_PROC_TUSS;DS_PROCEDIMENTO_TUSS;DS_TIPO_UTIL;DS_ORIGEM_PROCED
1096;Adeno Tonsilectomia - Revisão Cirúrgica;30205026;;5;Adeno Tonsilectomia - Revisão Cirúrgica;8; ;Cirurgicos;CBHPM
1097;Epistaxe - Tamponamento  Antero-Posterior;30501156;;5;Epistaxe - Tamponamento  Antero-Posterior;8; ;Cirurgicos;CBHPM
1098;Epistaxe - Tamponamento Anterior;30501164;;5;Epistaxe - Tamponamento Anterior;8; ;Cirurgicos;CBHPM
1099;Epistaxe - Tamponamento Antero-Posterior Sob Anestesia Geral;30501172;;5;Epistaxe - Tamponamento Antero-Posterior Sob Anestesia Geral;8; ;Cirurgicos;CBHPM
1100;Exérese De Tumor Com Abordagem Craniofacial Oncológica (Tempo Facial) Pirâmide Nasal;30501180;;5;Exérese De Tumor Com Abordagem Craniofacial Oncológica (Tempo Facial) Pirâmide Nasal;8; ;Cirurgicos;CBHPM
1101;Exérese De Tumor Nasal Por Via Endoscopica;30501199;;5;Exérese De Tumor Nasal Por Via Endoscopica;8; ;Cirurgicos;CBHPM
1102;Fechamento De Fístula Liquórica Transnasal;30501202;;5;Fechamento De Fístula Liquórica Transnasal;8; ;Cirurgicos;CBHPM
1103;Fístula Liquórica - Tratamento Cirúrgico Endoscópico Intranasal;30501210;;5;Fístula Liquórica - Tratamento Cirúrgico Endoscópico Intranasal;8; ;Cirurgicos;CBHPM
1104;Fraturas Dos Ossos Nasais - Redução Cirúrgica E Gesso;30501229;;5;Fraturas Dos Ossos Nasais - Redução Cirúrgica E Gesso;8; ;Cirurgicos;CBHPM
1105;Fraturas Dos Ossos Nasais - Redução Incruenta E Gesso;30501237;;5;Fraturas Dos Ossos Nasais - Redução Incruenta E Gesso;8; ;Cirurgicos;CBHPM
1106;Imperfuração Coanal - Correção Cirúrgica Intranasal;30501245;;5;Imperfuração Coanal - Correção Cirúrgica Intranasal;8; ;Cirurgicos;CBHPM
1107;Imperfuração Coanal - Correção Cirúrgica Intranasal Por Videoendoscopia;30501490;;5;Imperfuração Coanal - Correção Cirúrgica Intranasal Por Videoendoscopia;8; ;Cirurgicos;CBHPM
1108;Imperfuração Coanal - Correção Cirúrgica Transpalatina;30501253;;5;Imperfuração Coanal - Correção Cirúrgica Transpalatina;8; ;Cirurgicos;CBHPM
1109;Ozena - Tratamento Cirúrgico;30501261;;5;Ozena - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
1110;Ozena - Tratamento Cirúrgico Por Videoendoscopia;30501504;;5;Ozena - Tratamento Cirúrgico Por Videoendoscopia;8; ;Cirurgicos;CBHPM
1111;Perfuração Do Septo Nasal - Correção Cirúrgica;30501270;;5;Perfuração Do Septo Nasal - Correção Cirúrgica;8; ;Cirurgicos;CBHPM
1112;Perfuração Do Septo Nasal - Correção Cirúrgica Por Videoendoscopia;30501512;;5;Perfuração Do Septo Nasal - Correção Cirúrgica Por Videoendoscopia;8; ;Cirurgicos;CBHPM
1113;Polipectomia - Unilateral;30501288;;5;Polipectomia - Unilateral;8; ;Cirurgicos;CBHPM
1114;Reconstrução De Unidade Anatômica Do Nariz - Por Estágio;30501296;;5;Reconstrução De Unidade Anatômica Do Nariz - Por Estágio;8; ;Cirurgicos;CBHPM
1115;Reconstrução Total De Nariz - Por Estágio;30501300;;5;Reconstrução Total De Nariz - Por Estágio;8; ;Cirurgicos;CBHPM
1116;Ressecção De Tumores Malignos Transnasais;30501318;;5;Ressecção De Tumores Malignos Transnasais;8; ;Cirurgicos;CBHPM
1117;Rinectomia Parcial;30501326;;5;Rinectomia Parcial;8; ;Cirurgicos;CBHPM
1118;Rinectomia Total;30501334;;5;Rinectomia Total;8; ;Cirurgicos;CBHPM
1119;Rinoplastia Reparadora;30501342;;5;Rinoplastia Reparadora;8; ;Cirurgicos;CBHPM
1120;Rinosseptoplastia Funcional;30501350;;5;Rinosseptoplastia Funcional;8; ;Cirurgicos;CBHPM
1121;Rinosseptoplastia Funcional Por Videoendoscopia;30501520;;5;Rinosseptoplastia Funcional Por Videoendoscopia;8; ;Cirurgicos;CBHPM
1122;Septoplastia (Qualquer Técnica Sem Vídeo);30501369;;5;Septoplastia (Qualquer Técnica Sem Vídeo);8; ;Cirurgicos;CBHPM
1123;Septoplastia Por Videoendoscopia;30501539;;5;Septoplastia Por Videoendoscopia;8; ;Cirurgicos;CBHPM
1124;Sinéquia Nasal - Ressecção Unilateral - Qualquer Técnica;30501377;;5;Sinéquia Nasal - Ressecção Unilateral - Qualquer Técnica;8; ;Cirurgicos;CBHPM
1125;Tratamento Cirúrgico Da Atresia Narinária;30501385;;5;Tratamento Cirúrgico Da Atresia Narinária;8; ;Cirurgicos;CBHPM
1126;Adeno-Amigdalectomia;30205034;;5;Adeno-Amigdalectomia;8; ;Cirurgicos;CBHPM
1127;Adenoidectomia;30205042;;5;Adenoidectomia;8; ;Cirurgicos;CBHPM
1128;Adenoidectomia Por Videoendoscopia;30205271;;5;Adenoidectomia Por Videoendoscopia;8; ;Cirurgicos;CBHPM
1129;Amigdalectomia Das Palatinas;30205050;;5;Amigdalectomia Das Palatinas;8; ;Cirurgicos;CBHPM
1130;Amigdalectomia Lingual;30205069;;5;Amigdalectomia Lingual;8; ;Cirurgicos;CBHPM
1131;Biópsia Do Cavum, Orofaringe Ou Hipofaringe;30205077;;5;Biópsia Do Cavum, Orofaringe Ou Hipofaringe;8; ;Cirurgicos;CBHPM
971;Trombectomia Venosa;30907110;;5;Trombectomia Venosa;8; ;Cirurgicos;CBHPM
972;Valvuloplastia Ou Interposição De Segmento Valvulado Venoso;30907128;;5;Valvuloplastia Ou Interposição De Segmento Valvulado Venoso;8; ;Cirurgicos;CBHPM
973;Varizes - Ressecção De Colaterais Com Anestesia Local Em Consultório / Ambulatório (Por Grupo De Até;30907152;;5;Varizes - Ressecção De Colaterais Com Anestesia Local Em Consultório / Ambulatório (Por Grupo De Até;8; ;Cirurgicos;CBHPM
974;Varizes - Tratamento Cirúrgico De Dois Membros;30907136;;5;Varizes - Tratamento Cirúrgico De Dois Membros;8; ;Cirurgicos;CBHPM
975;Varizes - Tratamento Cirúrgico De Um Membro;30907144;;5;Varizes - Tratamento Cirúrgico De Um Membro;8; ;Cirurgicos;CBHPM
976;Fístula Aorto-Cava, Reno-Cava Ou Ílio-Ilíaca;30908019;;5;Fístula Aorto-Cava, Reno-Cava Ou Ílio-Ilíaca;8; ;Cirurgicos;CBHPM
977;Fístula Arteriovenosa - Com Enxerto;30908027;;5;Fístula Arteriovenosa - Com Enxerto;8; ;Cirurgicos;CBHPM
978;Fístula Arteriovenosa Cervical Ou Cefálica Extracraniana;30908035;;5;Fístula Arteriovenosa Cervical Ou Cefálica Extracraniana;8; ;Cirurgicos;CBHPM
979;Fístula Arteriovenosa Congênita - Cirurgia Radical;30908051;;5;Fístula Arteriovenosa Congênita - Cirurgia Radical;8; ;Cirurgicos;CBHPM
980;Fístula Arteriovenosa Congênita - Reintervenção;30908043;;5;Fístula Arteriovenosa Congênita - Reintervenção;8; ;Cirurgicos;CBHPM
981;Tratamento Cirúrgico Das Varizes Esofágicas Por Videolaparoscopia;31001327;;5;Tratamento Cirúrgico Das Varizes Esofágicas Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
982;Tratamento Cirúrgico Do Divertículo Esofágico;31001238;;5;Tratamento Cirúrgico Do Divertículo Esofágico;8; ;Cirurgicos;CBHPM
983;Tratamento Cirúrgico Do Divertículo Esofágico Por Videotoracoscopia;31001351;;5;Tratamento Cirúrgico Do Divertículo Esofágico Por Videotoracoscopia;8; ;Cirurgicos;CBHPM
984;Tratamento Cirúrgico Do Divertículo Faringoesofágico;31001246;;5;Tratamento Cirúrgico Do Divertículo Faringoesofágico;8; ;Cirurgicos;CBHPM
985;Tunelização Esofágica;31001190;;5;Tunelização Esofágica;8; ;Cirurgicos;CBHPM
986;Colocação De Banda Gástrica;31002013;;5;Colocação De Banda Gástrica;8; ;Cirurgicos;CBHPM
987;Colocação De Banda Gástrica Por Videolaparoscopia;31002285;;5;Colocação De Banda Gástrica Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
988;Conversão De Anastomose Gastrojejunal (Qualquer Técnica);31002021;;5;Conversão De Anastomose Gastrojejunal (Qualquer Técnica);8; ;Cirurgicos;CBHPM
989;Conversão De Anastomose Gastrojejunal Por Videolaparoscopia;31002293;;5;Conversão De Anastomose Gastrojejunal Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
990;Degastrogastrectomia Com Vagotomia;31002030;;5;Degastrogastrectomia Com Vagotomia;8; ;Cirurgicos;CBHPM
991;Degastrogastrectomia Sem Vagotomia;31002048;;5;Degastrogastrectomia Sem Vagotomia;8; ;Cirurgicos;CBHPM
992;Gastrectomia Parcial Com Linfadenectomia;31002064;;5;Gastrectomia Parcial Com Linfadenectomia;8; ;Cirurgicos;CBHPM
993;Gastrectomia Parcial Com Linfadenectomia Por Videolaparoscopia;31002307;;5;Gastrectomia Parcial Com Linfadenectomia Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
994;Gastrectomia Parcial Com Vagotomia;31002072;;5;Gastrectomia Parcial Com Vagotomia;8; ;Cirurgicos;CBHPM
995;Gastrectomia Parcial Com Vagotomia Por Videolaparoscopia;31002315;;5;Gastrectomia Parcial Com Vagotomia Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
996;Gastrectomia Parcial Sem Vagotomia;31002080;;5;Gastrectomia Parcial Sem Vagotomia;8; ;Cirurgicos;CBHPM
997;Gastrectomia Parcial Sem Vagotomia Por Videolaparoscopia;31002323;;5;Gastrectomia Parcial Sem Vagotomia Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
998;Gastrectomia Polar Superior Com Reconstrução Jejunal Com Toracotomia;31002099;;5;Gastrectomia Polar Superior Com Reconstrução Jejunal Com Toracotomia;8; ;Cirurgicos;CBHPM
999;Gastrectomia Polar Superior Com Reconstrução Jejunal Sem Toracotomia;31002102;;5;Gastrectomia Polar Superior Com Reconstrução Jejunal Sem Toracotomia;8; ;Cirurgicos;CBHPM
1000;Gastrectomia Total Com Linfadenectomia;31002110;;5;Gastrectomia Total Com Linfadenectomia;8; ;Cirurgicos;CBHPM
1001;Gastrectomia Total Com Linfadenectomia Por Videolaparoscopia;31002331;;5;Gastrectomia Total Com Linfadenectomia Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
1002;Gastrectomia Total Via Abdominal;31002129;;5;Gastrectomia Total Via Abdominal;8; ;Cirurgicos;CBHPM
1003;Gastrectomia Total Via Abdominal Por Videolaparoscopia;31002340;;5;Gastrectomia Total Via Abdominal Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
1004;Gastroenteroanastomose;31002137;;5;Gastroenteroanastomose;8; ;Cirurgicos;CBHPM
1005;Gastroenteroanastomose Por Videolaparoscopia;31002358;;5;Gastroenteroanastomose Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
1006;Gastroplastia Para Obesidade Mórbida - Qualquer Técnica;31002218;;5;Gastroplastia Para Obesidade Mórbida - Qualquer Técnica;8; ;Cirurgicos;CBHPM
1007;Gastroplastia Para Obesidade Mórbida Por Videolaparoscopia;31002390;;5;Gastroplastia Para Obesidade Mórbida Por Videolaparoscopia;8; ;Cirurgicos;CBHPM
1008;Gastrorrafia;31002145;;5;Gastrorrafia;8; ;Cirurgicos;CBHPM
1009;Gastrostomia Confecção / Fechamento;31002056;;5;Gastrostomia Confecção / Fechamento;8; ;Cirurgicos;CBHPM
1010;Gastrotomia Com Sutura De Varizes;31002153;;5;Gastrotomia Com Sutura De Varizes;8; ;Cirurgicos;CBHPM
1011;Matricectomia Por Dobra Ungueal;30101662;;5;Matricectomia Por Dobra Ungueal;8; ;Cirurgicos;CBHPM
1012;Plástica Em Z Ou W;30101670;;5;Plástica Em Z Ou W;8; ;Cirurgicos;CBHPM
1013;Reconstrução Com Retalhos De Gálea Aponeurótica;30101689;;5;Reconstrução Com Retalhos De Gálea Aponeurótica;8; ;Cirurgicos;CBHPM
1014;Retalho Composto (Incluindo Cartilagem Ou Osso);30101697;;5;Retalho Composto (Incluindo Cartilagem Ou Osso);8; ;Cirurgicos;CBHPM
1015;Retirada De Corpo Estranho Subcutâneo;30101735;;5;Retirada De Corpo Estranho Subcutâneo;8; ;Cirurgicos;CBHPM
1016;Retração Cicatricial De Axila - Tratamento Cirúrgico;30101743;;5;Retração Cicatricial De Axila - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
1017;Retração Cicatricial De Zona De Flexão E Extensão De Membros Superiores E Inferiores;30101751;;5;Retração Cicatricial De Zona De Flexão E Extensão De Membros Superiores E Inferiores;8; ;Cirurgicos;CBHPM
1018;Retração Cicatricial Do Cotovelo - Tratamento Cirúrgico;30101760;;5;Retração Cicatricial Do Cotovelo - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
1019;Retração De Aponevrose Palmar (Dupuytren);30101778;;5;Retração De Aponevrose Palmar (Dupuytren);8; ;Cirurgicos;CBHPM
1020;Sutura De Extensos Ferimentos Com Ou Sem Desbridamento;30101786;;5;Sutura De Extensos Ferimentos Com Ou Sem Desbridamento;8; ;Cirurgicos;CBHPM
1021;Sutura De Pequenos Ferimentos Com Ou Sem Desbridamento;30101794;;5;Sutura De Pequenos Ferimentos Com Ou Sem Desbridamento;8; ;Cirurgicos;CBHPM
1022;Transecção De Retalho;30101808;;5;Transecção De Retalho;8; ;Cirurgicos;CBHPM
1023;Transferência Intermediária De Retalho;30101816;;5;Transferência Intermediária De Retalho;8; ;Cirurgicos;CBHPM
1024;Tratamento Cirúrgico De Bridas Constrictivas;30101824;;5;Tratamento Cirúrgico De Bridas Constrictivas;8; ;Cirurgicos;CBHPM
1025;Tratamento Cirúrgico De Grandes Hemangiomas;30101832;;5;Tratamento Cirúrgico De Grandes Hemangiomas;8; ;Cirurgicos;CBHPM
1026;Tratamento Da Miiase Furunculóide (Por Lesão);30101840;;5;Tratamento Da Miiase Furunculóide (Por Lesão);8; ;Cirurgicos;CBHPM
1027;Tratamento De Anomalias Pilosas A Laser/Photoderm - Por Sessão;30101859;;5;Tratamento De Anomalias Pilosas A Laser/Photoderm - Por Sessão;8; ;Cirurgicos;CBHPM
1028;Tratamento De Escaras Ou Ulcerações Com Enxerto De Pele;30101867;;5;Tratamento De Escaras Ou Ulcerações Com Enxerto De Pele;8; ;Cirurgicos;CBHPM
1029;Tratamento De Escaras Ou Ulcerações Com Retalhos Cutâneos Locais;30101875;;5;Tratamento De Escaras Ou Ulcerações Com Retalhos Cutâneos Locais;8; ;Cirurgicos;CBHPM
1030;Tratamento De Escaras Ou Ulcerações Com Retalhos Miocutâneos Ou Musculares;30101883;;5;Tratamento De Escaras Ou Ulcerações Com Retalhos Miocutâneos Ou Musculares;8; ;Cirurgicos;CBHPM
1031;Tratamento De Fístula Cutânea;30101891;;5;Tratamento De Fístula Cutânea;8; ;Cirurgicos;CBHPM
1032;Tratamento De Lesões Cutâneas E Vasculares A Laser/Photoderm - Por Sessão;30101905;;5;Tratamento De Lesões Cutâneas E Vasculares A Laser/Photoderm - Por Sessão;8; ;Cirurgicos;CBHPM
1391;Tireoidectomia Total;30213053;;5;Tireoidectomia Total;8; ;Cirurgicos;CBHPM
1392;Biópsia De Paratireóide;30214017;;5;Biópsia De Paratireóide;8; ;Cirurgicos;CBHPM
1393;Paratireoidectomia Com Toracotomia;30214025;;5;Paratireoidectomia Com Toracotomia;8; ;Cirurgicos;CBHPM
1394;Reimplante De Paratireóide Previamente Preservada;30214033;;5;Reimplante De Paratireóide Previamente Preservada;8; ;Cirurgicos;CBHPM
1395;Tratamento Cirúrgico Do Hiperparatireoidismo Primário;30214041;;5;Tratamento Cirúrgico Do Hiperparatireoidismo Primário;8; ;Cirurgicos;CBHPM
1396;Tratamento Cirúrgico Do Hiperparatireoidismo Secundário;30214050;;5;Tratamento Cirúrgico Do Hiperparatireoidismo Secundário;8; ;Cirurgicos;CBHPM
1397;Cranioplastia;30215013;;5;Cranioplastia;8; ;Cirurgicos;CBHPM
1398;Craniotomia Descompressiva;30215021;;5;Craniotomia Descompressiva;8; ;Cirurgicos;CBHPM
1399;Craniotomia Para Tumores Ósseos;30215030;;5;Craniotomia Para Tumores Ósseos;8; ;Cirurgicos;CBHPM
1400;Reconstrução Craniana Ou Craniofacial;30215048;;5;Reconstrução Craniana Ou Craniofacial;8; ;Cirurgicos;CBHPM
1401;Retirada De Cranioplastia;30215056;;5;Retirada De Cranioplastia;8; ;Cirurgicos;CBHPM
1402;Tratamento Cirúrgico Da Craniossinostose;30215072;;5;Tratamento Cirúrgico Da Craniossinostose;8; ;Cirurgicos;CBHPM
1403;Tratamento Cirúrgico Da Fratura Do Crânio - Afundamento;30215080;;5;Tratamento Cirúrgico Da Fratura Do Crânio - Afundamento;8; ;Cirurgicos;CBHPM
1404;Tratamento Cirúrgico Da Osteomielite De Crânio;30215099;;5;Tratamento Cirúrgico Da Osteomielite De Crânio;8; ;Cirurgicos;CBHPM
1405;Abscesso De Pálpebra - Drenagem;30301017;;5;Abscesso De Pálpebra - Drenagem;8; ;Cirurgicos;CBHPM
1406;Biópsia De Pálpebra;30301025;;5;Biópsia De Pálpebra;8; ;Cirurgicos;CBHPM
1407;Blefarorrafia;30301033;;5;Blefarorrafia;8; ;Cirurgicos;CBHPM
1408;Calázio;30301041;;5;Calázio;8; ;Cirurgicos;CBHPM
1409;Cantoplastia Lateral;30301050;;5;Cantoplastia Lateral;8; ;Cirurgicos;CBHPM
1410;Cantoplastia Medial;30301068;;5;Cantoplastia Medial;8; ;Cirurgicos;CBHPM
1411;Coloboma - Com Plástica;30301076;;5;Coloboma - Com Plástica;8; ;Cirurgicos;CBHPM
1412;Correção Cirúrgica De Ectrópio Ou Entrópio;30301084;;5;Correção Cirúrgica De Ectrópio Ou Entrópio;8; ;Cirurgicos;CBHPM
1413;Correção De Bolsas Palpebrais - Unilateral;30301092;;5;Correção De Bolsas Palpebrais - Unilateral;8; ;Cirurgicos;CBHPM
